GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2_1,stocks_portfolio,Stock,8,15,0,0,4,6,2,3,2,3
lab2_1,stocks_portfolio,StocksPortfolio,0,45,0,2,0,11,0,4,0,3
